" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0032646","nm0736086,nm0704131","Jai-Alai","Jai-Alai","1940",NULL
"tt0032649","nm0782393","The Jewish Melody","The Jewish Melody","1940",NULL
"tt0032653","nm0363235","Jud Süß","Jud Süß","1940","Drama"
"tt0032666","nm0602009,nm0404431","Topa Topa","Topa Topa","1938","Adventure,Drama,Romance"
"tt0032739","nm0776838","Ma! He's Making Eyes at Me","Ma! He's Making Eyes at Me","1940","Comedy,Music,Romance"
"tt0032748","nm0123556","The Man Who Wouldn't Talk","The Man Who Wouldn't Talk","1940","Crime,Drama"
"tt0032749","nm0127511","Man from Montreal","Man from Montreal","1939","Action,Adventure,Comedy"
"tt0032760","nm0674398","Marianela","Marianela","1940","Drama"
"tt0032770","nm0252475","Med dej i mina armar","Med dej i mina armar","1940","Comedy,Romance"
"tt0032807","nm0576940","Money to Burn","Money to Burn","1939","Comedy"
"tt0032844","nm0949031","The Story of Tank Commander Nishizumi","Nishizumi senshacho-den","1940","War"
"tt0032849","nm0560395","Non me lo dire!","Non me lo dire!","1940","Comedy"
"tt0032851","nm0886754,nm0896542,nm0176699","Northwest Passage","'Northwest Passage' (Book I -- Rogers' Rangers)","1940","Adventure,Drama,History"
"tt0032900","nm0317695","Peñíscola, baluarte del Papa Luna","Peñíscola, baluarte del Papa Luna","1940","Documentary,Short"
"tt0032959","nm0005847","Queen of the Yukon","Queen of the Yukon","1940","Adventure,Western"
"tt0033013","nm0387002","The Saint Takes Over","The Saint Takes Over","1940","Crime,Mystery"
"tt0033055","nm0512798","A Sailor on Horseback","En sjöman till häst","1940","Comedy"
"tt0124912","nm0414732","Under byens tage","Under byens tage","1938","Family"
"tt0134056","nm0712748","Ridin' the Trail","Ridin' the Trail","1940","Music,Western"
"tt0136288","nm0869645","Die keusche Geliebte","Die keusche Geliebte","1940",NULL
"tt0151405","nm0482742","Lucerna","Lucerna","1938","Fantasy"
"tt0159831","\N","Wild Oats","Wild Oats","1940","Drama"
"tt0160694","nm0396789","Le prince Bouboule","Le prince Bouboule","1939","Comedy"
"tt0166715","nm0925028","Money Squawks","Money Squawks","1940","Comedy,Short"
"tt0166830","nm0162272","Svet kde se zebrá","Svet kde se zebrá","1938","Comedy"
"tt0167242","nm0294758","Christian","Kristian","1939","Comedy,Romance"
"tt0028468","nm0537781","The Villiers Diamond","The Villiers Diamond","1938","Crime,Drama,Mystery"
"tt0028716","nm0811996","Satan's Five Warnings","Las cinco advertencias de Satanás","1938","Comedy"
"tt0028862","nm0138660","A Festa Desportiva de Fim de Ano no Colégio Infante de Sagres","A Festa Desportiva de Fim de Ano no Colégio Infante de Sagres","1938","Documentary"
"tt0029007","nm0345500","I Have Lost My Husband","Ho perduto mio marito","1939","Comedy,Romance"
"tt0029836","nm0166058","Accidents Will Happen","Accidents Will Happen","1938","Crime,Drama"
"tt0029956","nm0281487","Buzzy Boop at the Concert","Buzzy Boop at the Concert","1938","Animation,Short"
"tt0030006","nm0437356","Come on, Rangers!","Come on, Rangers!","1938","Music,Romance,Western"
"tt0030007","nm0268513,nm0000923","Comet Over Broadway","Comet Over Broadway","1938","Drama,Romance"
"tt0030045","nm0293989","A Day at the Beach","A Day at the Beach","1938","Animation,Comedy,Family"
"tt0030054","nm0560395","Il destino","Il destino","1938","Drama"
"tt0030064","nm0131460","Il documento","Il documento","1939","Comedy"
"tt0030147","nm0321216","Forbidden Valley","Forbidden Valley","1938","Action,Romance,Western"
"tt0030175","nm0374871","Geld fällt vom Himmel","Geld fällt vom Himmel","1938",NULL
"tt0030222","nm0079601","The Headleys at Home","The Headleys at Home","1938","Comedy"
"tt0030223","nm0520419","Healthy, Wealthy and Dumb","Healthy, Wealthy and Dumb","1938","Comedy,Short"
"tt0030306","nm0311174","John, the Hero","János vitéz","1939",NULL
"tt0030340","nm0448915","The Lady Objects","The Lady Objects","1938","Drama,Music,Romance"
"tt0030402","nm0850895","The Major Lied 'Til Dawn","The Major Lied 'Til Dawn","1938","Animation,Comedy,Family"
"tt0030604","nm0163332","Porky in Wackyland","Porky in Wackyland","1938","Animation,Comedy,Family"
"tt0030663","nm0792450","Red River Range","Red River Range","1938","Western"
"tt0030667","nm0347589","Remontons les Champs-Élysées","Remontons les Champs-Élysées","1938","Comedy,Drama"
"tt0030678","nm0792450","Rhythm of the Saddle","Rhythm of the Saddle","1938","Romance,Western"
"tt0030865","nm0097648","Three Comrades","Three Comrades","1938","Drama,Romance"
"tt0030897","nm0715716","Tropic Holiday","Tropic Holiday","1938","Comedy,Music"
"tt0031005","nm0866299,nm0275312","Zapomniana melodia","Zapomniana melodia","1938","Comedy,Musical,Romance"
"tt0031040","nm0317856","Ametralladoras","Ametralladoras","1939","Documentary,Short"
"tt0031098","nm0523893","Big Town Czar","Big Town Czar","1939","Mystery"
"tt0031105","nm0219068","Blind Folly","Blind Folly","1939","Comedy"
"tt0031166","nm0809467","Code of the Secret Service","Code of the Secret Service","1939","Action,Crime,Drama"
"tt0031176","nm0545216","La conquista dell'aria","La conquista dell'aria","1939",NULL
"tt0031198","nm0005062","The Curious Puppy","The Curious Puppy","1939","Animation,Comedy,Family"
"tt0033107","nm0409069","Stranger on the Third Floor","Stranger on the Third Floor","1940","Crime,Drama,Film-Noir"
"tt0033147","nm0205317","That's the Ticket","That's the Ticket","1940","Comedy"
"tt0033161","nm0072872","Three Silent Men","Three Silent Men","1940","Crime,Drama"
